'sample interval','ABP'
'0.008 sec','mmHg'
0,146.871
1,147.262
2,147.458
3,147.653
4,147.458
5,147.458
6,147.067
7,146.675
8,146.284
9,145.698
10,145.111
11,144.329
12,143.546
13,142.764
14,141.982
15,141.200
16,140.417
17,139.635
18,139.048
19,138.266
20,137.679
21,136.897
22,136.310
23,135.528
24,134.941
25,134.159
26,133.377
27,132.790
28,132.008
29,131.421
30,130.835
31,130.052
32,129.466
33,128.879
34,128.292
35,127.705
36,127.119
37,126.336
38,125.750
39,125.359
40,124.967
41,125.163
42,125.554
43,126.728
44,128.292
45,130.052
46,131.812
47,133.572
48,135.137
49,136.506
50,137.875
51,139.048
52,140.026
53,141.004
54,141.982
55,142.764
56,143.546
57,144.329
58,145.111
59,145.698
60,146.480
61,147.067
62,147.653
63,148.044
64,148.436
65,148.827
66,149.022
67,149.022
68,148.827
69,148.436
70,148.044
71,147.458
72,146.871
73,146.089
74,145.111
75,144.133
76,142.960
77,141.982
78,141.004
79,140.026
80,139.048
81,138.266
82,137.288
83,136.506
84,135.724
85,134.941
86,134.355
87,133.572
88,132.790
89,132.008
90,131.226
91,130.443
92,129.857
93,128.879
94,128.292
95,127.510
96,126.728
97,125.945
98,125.359
99,124.576
100,123.990
101,123.403
102,122.816
103,122.425
104,121.838
105,121.643
106,121.838
107,122.621
108,123.794
109,125.554
110,127.314
111,129.074
112,130.835
113,132.399
114,133.768
115,134.941
116,136.115
117,137.093
118,138.070
119,139.048
120,139.831
121,140.613
122,141.395
123,142.177
124,142.764
125,143.351
126,143.938
127,144.524
128,144.915
129,145.306
130,145.502
131,145.698
132,145.698
133,145.502
134,145.306
135,144.720
136,144.329
137,143.742
138,142.960
139,142.177
140,141.395
141,140.417
142,139.439
143,138.657
144,137.679
145,136.897
146,136.115
147,135.333
148,134.550
149,133.768
150,132.986
151,132.203
152,131.421
153,130.639
154,129.857
155,129.074
156,128.488
157,127.705
158,127.119
159,126.336
160,125.750
161,125.359
162,124.772
163,124.185
164,123.794
165,123.207
166,122.816
167,122.230
168,121.838
169,121.838
170,122.034
171,122.816
172,124.185
173,125.750
174,127.705
175,129.661
176,131.421
177,132.986
178,134.355
179,135.528
180,136.702
181,137.679
182,138.657
183,139.635
184,140.613
185,141.395
186,142.177
187,142.960
188,143.546
189,144.329
190,144.915
191,145.306
192,145.893
193,146.284
194,146.675
195,146.675
196,146.675
197,146.480
198,146.089
199,145.698
200,145.111
201,144.524
202,143.742
203,142.960
204,141.982
205,141.200
206,140.222
207,139.439
208,138.657
209,137.875
210,137.093
211,136.310
212,135.724
213,134.941
214,134.355
215,133.572
216,132.790
217,132.203
218,131.421
219,130.835
220,130.052
221,129.270
222,128.683
223,128.097
224,127.314
225,126.728
226,126.141
227,125.554
228,124.772
229,124.185
230,123.599
231,123.012
232,122.621
233,122.621
234,123.012
235,123.990
236,125.359
237,127.119
238,129.074
239,130.835
240,132.595
241,134.159
242,135.333
243,136.702
244,137.679
245,138.853
246,139.831
247,140.808
248,141.591
249,142.373
250,143.155
251,143.938
252,144.720
253,145.306
254,145.893
255,146.284
256,146.871
257,147.067
258,147.262
259,147.458
260,147.262
261,147.067
262,146.675
263,145.893
